"('of', 'the')",192662
"('in', 'the')",155857
"('to', 'the')",88735
"('on', 'the')",66703
"('for', 'the')",53846
"('at', 'the')",51722
"('in', 'a')",51372
"('and', 'the')",49236
"('to', 'be')",48117
"('that', 'the')",47247
"('with', 'the')",38812
"('from', 'the')",35589
"('of', 'a')",33050
"('as', 'a')",33041
"('he', 'said')",32528
"('by', 'the')",31392
"('is', 'a')",30296
"('according', 'to')",28084
"('it', 'was')",26577
"('one', 'of')",24779
"('he', 'was')",24539
"('the', 'united')",24373
"('donald', 'trump')",23617
"('to', 'a')",23612
"('it', 'is')",23476
"('that', 'he')",23177
"('has', 'been')",23022
"('united', 'states')",22991
"('mr', 'trump')",22584
"('going', 'to')",22232
"('have', 'been')",21289
"('for', 'a')",21021
"('as', 'the')",20952
"('with', 'a')",20875
"('more', 'than')",19633
"('is', 'the')",19254
"('the', 'first')",19219
"('new', 'york')",18970
"('about', 'the')",18285
"('was', 'a')",17963
"('will', 'be')",17802
"('and', 'a')",17618
"('i', 'm')",17564
"('of', 'his')",16804
"('this', 'is')",16552
"('the', 'world')",15868
"('the', 'country')",15598
"('would', 'be')",15325
"('the', 'new')",15212
"('out', 'of')",15195
"('on', 'a')",15051
"('is', 'not')",15011
"('hillary', 'clinton')",14884
"('white', 'house')",14815
"('over', 'the')",14708
"('to', 'do')",14687
"('the', 'same')",14644
"('on', 'twitter')",14538
"('i', 'think')",14490
"('want', 'to')",13739
"('at', 'a')",13555
"('the', 'president')",13493
"('did', 'not')",13467
"('and', 'i')",13428
"('into', 'the')",13377
"('and', 'that')",13275
"('the', 'most')",13270
"('said', 'the')",13200
"('said', 'that')",13197
"('after', 'the')",13142
"('to', 'have')",13108
"('she', 'said')",12808
"('have', 'to')",12787
"('in', 'an')",12634
"('we', 're')",12564
"('part', 'of')",12472
"('had', 'been')",12410
"('to', 'get')",12375
"('that', 'it')",12231
"('to', 'make')",12177
"('but', 'the')",12106
"('they', 'are')",12017
"('said', 'he')",11969
"('in', 'his')",11845
"('have', 'a')",11844
"('there', 'is')",11783
"('be', 'a')",11780
"('during', 'the')",11569
"('a', 'lot')",11490
"('the', 'u')",11434
"('the', 'state')",11279
"('he', 'is')",11252
"('we', 'have')",11238
"('said', 'in')",10997
"('a', 'new')",10903
"('if', 'you')",10863
"('that', 'is')",10740
"('the', 'white')",10697
"('that', 'they')",10574
"('some', 'of')",10462
