"('the', 'united', 'states')",21374
"('one', 'of', 'the')",14553
"('the', 'white', 'house')",9812
"('according', 'to', 'the')",9302
"('a', 'lot', 'of')",8498
"('the', 'new', 'york')",6098
"('as', 'well', 'as')",6017
"('said', 'in', 'a')",5930
"('in', 'a', 'statement')",5795
"('in', 'the', 'united')",5598
"('some', 'of', 'the')",5331
"('new', 'york', 'times')",5061
"('part', 'of', 'the')",4985
"('to', 'be', 'a')",4899
"('going', 'to', 'be')",4749
"('out', 'of', 'the')",4705
"('president', 'donald', 'trump')",4395
"('secretary', 'of', 'state')",4352
"('at', 'the', 'time')",4265
"('the', 'end', 'of')",4242
"('re', 'going', 'to')",4209
"('the', 'obama', 'administration')",4121
"('according', 'to', 'a')",4002
"('in', 'new', 'york')",3814
"('of', 'the', 'united')",3754
"('follow', 'him', 'on')",3739
"('in', 'an', 'interview')",3697
"('the', 'fact', 'that')",3694
"('president', 'barack', 'obama')",3683
"('be', 'able', 'to')",3653
"('it', 'was', 'a')",3541
"('the', 'first', 'time')",3491
"('the', 'islamic', 'state')",3435
"('him', 'on', 'twitter')",3392
"('of', 'the', 'most')",3382
"('in', 'the', 'world')",3285
"('the', 'university', 'of')",3258
"('president', 'of', 'the')",3238
"('donald', 'j', 'trump')",3231
"('there', 'is', 'no')",3210
"('the', 'number', 'of')",3199
"('this', 'is', 'a')",3176
"('members', 'of', 'the')",3121
"('a', 'number', 'of')",3092
"('that', 'he', 'was')",3067
"('i', 'm', 'not')",3063
"('in', 'the', 'past')",3032
"('the', 'rest', 'of')",3018
"('is', 'going', 'to')",2960
"('not', 'going', 'to')",2800
"('there', 'is', 'a')",2776
"('the', 'trump', 'administration')",2743
"('in', 'order', 'to')",2729
"('a', 'series', 'of')",2628
"('the', 'american', 'people')",2620
"('we', 're', 'going')",2578
"('member', 'of', 'the')",2555
"('in', 'the', 'country')",2553
"('of', 'the', 'world')",2548
"('as', 'part', 'of')",2548
"('to', 'be', 'the')",2547
"('new', 'york', 'city')",2546
"('are', 'going', 'to')",2528
"('the', 'supreme', 'court')",2513
"('it', 'would', 'be')",2480
"('that', 'he', 'had')",2478
"('the', 'department', 'of')",2438
"('more', 'than', 'a')",2431
"('the', 'state', 'department')",2400
"('the', 'european', 'union')",2394
"('to', 'the', 'united')",2393
"('around', 'the', 'world')",2384
"('we', 'have', 'to')",2374
"('i', 'don', 'think')",2368
"('it', 'is', 'a')",2316
"('that', 'it', 'was')",2315
"('director', 'of', 'the')",2288
"('i', 'think', 'it')",2283
"('end', 'of', 'the')",2272
"('is', 'one', 'of')",2241
"('in', 'the', 'middle')",2236
"('the', 'middle', 'east')",2216
"('many', 'of', 'the')",2214
"('for', 'the', 'first')",2212
"('this', 'is', 'the')",2201
"('said', 'he', 'was')",2174
"('said', 'that', 'the')",2165
"('percent', 'of', 'the')",2154
"('at', 'the', 'university')",2152
"('most', 'of', 'the')",2140
"('he', 'said', 'he')",2129
"('in', 'the', 'first')",2110
"('of', 'the', 'country')",2104
"('in', 'front', 'of')",2101
"('you', 'have', 'to')",2096
"('i', 'don', 'know')",2077
"('we', 'need', 'to')",2075
"('part', 'of', 'a')",2068
"('because', 'of', 'the')",2037
"('a', 'member', 'of')",2022
